Country,GDP,Population,Continent
Aruba,2558906304,106585,North America
Afghanistan,19955929052,38972230,Asia
Angola,48501561204,33428486,Africa
Albania,15162734205,2837849,Africa
Andorra,2891001149,77700,Europe
United Arab Emirates,3.49E+11,9287289,Asia
Argentina,3.86E+11,45376763,South America
Armenia,12641698583,2805608,Asia
American Samoa,721000000,46189,North America
Antigua and Barbuda,1410796296,92664,North America
Australia,1.33E+12,25649248,Oceania
Austria,4.35E+11,8916864,Europe
Azerbaijan,42693000000,10093121,Asia
Burundi,2649680261,12220227,Africa
Belgium,5.26E+11,11538604,Europe
Benin,15686741884,12643123,Africa
Burkina Faso,17725010531,21522626,Africa
Bangladesh,3.74E+11,167420951,Asia
Bulgaria,70368758395,6934015,Europe
Bahrain,34621807713,1477469,Asia
Bosnia and Herzegovina,20226036564,3318407,Europe
Belarus,61371755326,9379952,Europe
Belize,2047727810,394921,North America
Bolivia,36629843806,11936162,South America
Brazil,1.48E+12,213196304,North America
Barbados,4779756550,280693,North America
Brunei Darussalam,12005799654,441725,Asia
Bhutan,2457604042,772506,Asia
Botswana,14960291106,2546402,Asia
Central African Republic,2326720900,5343020,Africa
Canada,1.66E+12,38028638,North America
Central Europe and the Baltics,1.67E+12,102180124,Europe
Switzerland,7.42E+11,8638167,Europe
Chile,2.54E+11,19300315,South America
China,1.47E+13,1411100000,Asia
Cote d'Ivoire,63027852805,26811790,Africa
Cameroon,40773241177,26491087,Africa
Dem. Rep. Congo,48716961860,92853164,Africa
Congo,11468688141,5702174,Africa
Colombia,2.70E+11,50930662,South America
Comoros,1225039197,806166,Africa
Cabo Verde,1821565614,582640,Africa
Costa Rica,62395610760,5123105,North America
Caribbean small states,31378030001,3106185,North America
Cuba,1.07E+11,11300698,North America
Curacao,2534327598,154947,North America
Cayman Islands,5655357984,67311,North America
Cyprus,25227189745,1237537,Europe
Czechia,2.46E+11,10697858,Europe
Germany,3.89E+12,83160871,Europe
Djibouti,3185150981,1090156,Africa
Dominica,504214814.8,71995,North America
Denmark,3.55E+11,5831404,Europe
Dominican Republic,78844656298,10999664,North America
Algeria,1.65E+11,43451666,Africa
Ecuador,95865472000,17588595,South America
Egypt,3.84E+11,107465134,Africa
Spain,1.28E+12,47365655,Europe
Estonia,31330419851,1329522,Europe
Ethiopia,1.08E+11,117190911,Africa
Finland,2.72E+11,5529543,Europe
Fiji,4432466220,920422,Oceania
France,2.65E+12,67571107,Europe
Faroe Islands,3262045883,52415,Europe
Gabon,15314577168,2292573,Africa
United Kingdom,2.70E+12,67081234,Europe
Georgia,16010869216,3722716,Asia
Ghana,70043095504,32180401,Africa
Guinea,14177835841,13205153,Africa
Gambia,1812170891,2573995,Africa
Greece,1.88E+11,10698599,Europe
Grenada,1043411111,123663,North America
Greenland,3082884653,56367,North America
Guatemala,77715183063,16858333,North America
Guam,5916000000,169231,Oceania
Guyana,5471256595,797202,South America
Honduras,23352232484,10121763,North America
Croatia,58221300898,4047680,Europe
Haiti,14508222518,11306801,North America
Hungary,1.57E+11,9750149,Europe
Indonesia,1.06E+12,271857970,Asia
Isle of Man,6684225641,84046,Europe
India,2.67E+12,1396387127,Asia
Ireland,4.29E+11,4985382,Europe
Iran,2.40E+11,87290193,Asia
Iraq,1.81E+11,42556984,Asia
Iceland,21629953194,366463,Europe
Israel,4.13E+11,9215100,Asia
Italy,1.90E+12,59438851,Europe
Jamaica,13812421836,2820436,North America
Jordan,43700383099,10928721,Asia
Japan,5.06E+12,126261000,Asia
Kazakhstan,1.71E+11,18755666,Asia
Kenya,1.01E+11,51985780,Africa
Kyrgyz Republic,8270468614,6579900,Asia
Cambodia,25872797892,16396860,Asia
Kiribati,222973879.7,126463,Oceania
St. Kitts and Nevis,883922222.2,47642,North America
South Korea,1.64E+12,51836239,Asia
Kuwait,1.08E+11,4360444,Asia
Lebanon,31712128254,5662923,Asia
Liberia,3176126340,5087584,Africa
Libya,65688454972,6653942,Africa
St. Lucia,1497825994,179237,North America
Liechtenstein,6405870210,38756,Europe
Sri Lanka,84304298771,21919000,Asia
Lesotho,2053338465,2254100,Africa
Lithuania,56964942999,2794885,Europe
Luxembourg,73699366700,630419,Europe
Latvia,34390910339,1900449,Europe
St. Martin (French part),,32553,North America
Morocco,1.21E+11,36688772,Africa
Monaco,6739645416,36922,Europe
Moldova,11530746234,2635130,Europe
Madagascar,13051441204,28225177,Africa
Maldives,3712604583,514438,Asia
Mexico,1.12E+12,125998302,South America
Marshall Islands,240751144.4,43413,Oceania
North Macedonia,12361036914,1856124,Europe
Mali,17465392764,21224040,Africa
Malta,15249999048,515332,Europe
Myanmar,79006113643,53423198,Asia
Montenegro,4769996866,621306,Europe
Mongolia,13312981429,3294335,Asia
Mauritania,8260752385,4498604,Africa
Mauritius,11408106446,1266014,Africa
Malawi,12041250084,19377061,Africa
Malaysia,3.37E+11,33199993,Asia
Namibia,10583748542,2489098,Africa
New Caledonia,9454629468,271080,Oceania
Niger,13744653103,24333639,Africa
Nigeria,4.32E+11,208327405,Africa
Nicaragua,12681548304,6755895,North America
Netherlands,9.10E+11,17441500,Europe
Norway,3.68E+11,5379475,Europe
Nepal,33433659301,29348627,Asia
Nauru,124685688.2,12315,Oceania
New Zealand,2.13E+11,5090200,Oceania
Oman,75909397659,4543399,Asia
Pakistan,3.00E+11,227196741,Asia
Panama,57086836900,4294396,North America
Peru,2.01E+11,33304756,South America
Philippines,3.62E+11,112190977,Asia
Palau,261179138.2,17972,Oceania
Papua New Guinea,23848445104,9749640,Oceania
Poland,5.99E+11,37899070,Europe
Puerto Rico,1.03E+11,3281557,North America
Portugal,2.29E+11,10297081,Europe
Paraguay,35432178068,6618695,South America
French Polynesia,5792545871,301920,Oceania
Qatar,1.44E+11,2760385,Asia
Romania,2.51E+11,19265250,Europe
Russia,1.49E+12,145245148,Europe
Rwanda,10174387614,13146362,Africa
Saudi Arabia,7.34E+11,35997107,Asia
Sudan,27034593750,44440486,Africa
Senegal,24530513038,16436120,Africa
Singapore,3.49E+11,5685807,Asia
El Salvador,24921190000,6292731,North America
Somalia,9204140383,16537016,Africa
Serbia,53356484591,6899126,Europe
Slovak Republic,1.07E+11,5458827,Europe
Slovenia,53734526854,2102419,Europe
Sweden,5.47E+11,10353442,Europe
Eswatini,3982236694,1180655,Africa
Syria,11155888304,20772595,Asia
Chad,10715396042,16644701,Africa
Togo,7400284168,8442580,Africa
Thailand,5.00E+11,71475664,Asia
Tajikistan,8133963551,9543207,Asia
Turkmenistan,45818000000,6250438,Asia
Timor-Leste,2162619200,1299995,Asia
Trinidad and Tobago,20807571314,1518147,North America
Tunisia,42491816476,12161723,Africa
Turkey,7.20E+11,83384680,Europe
Tanzania,66068737786,61704518,Africa
Uganda,37600368240,44404611,Africa
Ukraine,1.57E+11,44207754,Europe
Uruguay,53668636568,3429086,South America
United States of America,2.13E+13,331526933,North America
Uzbekistan,60224701297,34232050,Asia
St. Vincent and the Grenadines,869111111.1,104632,North America
Vietnam,3.47E+11,96648685,Asia
Kosovo,7717145218,1790133,Europe
South Africa,3.38E+11,58801927,Africa
Zambia,18137764931,18927715,Africa
Zimbabwe,21509698406,15669666,Africa
