Country,2020.00
Aruba,0.00
Africa Eastern and Southern,0.80
Afghanistan,0.22
Africa Western and Central,0.46
Angola,0.59
Albania,1.54
Andorra,5.78
Arab World,3.93
United Arab Emirates,20.25
Argentina,3.41
Armenia,2.40
American Samoa,0.00
Antigua and Barbuda,5.12
Australia,14.78
Austria,6.63
Azerbaijan,3.40
Burundi,0.06
Belgium,7.40
Benin,0.63
Burkina Faso,0.25
Bangladesh,0.51
Bulgaria,4.92
Bahrain,21.98
"Bahamas, The",6.04
Bosnia and Herzegovina,6.31
Belarus,5.84
Belize,1.74
Bermuda,0.00
Bolivia,1.54
Brazil,1.94
Barbados,3.90
Brunei Darussalam,21.71
Bhutan,1.34
Botswana,2.26
Central African Republic,0.04
Canada,13.59
Central Europe and the Baltics,5.86
Switzerland,4.04
Channel Islands,0.00
Chile,4.40
China,7.76
Cote d'Ivoire,0.41
Cameroon,0.37
Dem. Rep. Congo,0.03
Congo,1.25
Colombia,1.55
Comoros,0.41
Cabo Verde,1.07
Costa Rica,1.36
Caribbean small states,10.55
Cuba,2.15
Curacao,0.00
Cayman Islands,0.00
Cyprus,5.47
Czechia,8.30
Germany,7.26
Djibouti,0.39
Dominica,2.26
Denmark,4.69
Dominican Republic,2.08
Algeria,3.72
East Asia & Pacific (excluding high income),5.98
Early-demographic dividend,2.02
East Asia & Pacific,6.22
Europe & Central Asia (excluding high income),11.37
Europe & Central Asia,6.11
Ecuador,1.96
Egypt,1.96
Euro area,5.40
Eritrea,0.20
Spain,4.28
Estonia,5.34
Ethiopia,0.15
European Union,5.51
Fragile and conflict affected situations,0.77
Finland,6.57
Fiji,1.12
France,3.95
Faroe Islands,0.00
"Micronesia, Fed. Sts.",0.96
Gabon,2.33
United Kingdom,4.60
Georgia,2.75
Ghana,0.60
Gibraltar,0.00
Guinea,0.34
"Gambia, The",0.24
Guinea-Bissau,0.16
Equatorial Guinea,2.73
Greece,4.77
Grenada,2.62
Greenland,0.00
Guatemala,1.00
Guam,0.00
Guyana,3.47
High income,7.79
"Hong Kong SAR, China",0.00
Honduras,0.87
Heavily indebted poor countries (HIPC),0.27
Croatia,3.86
Haiti,0.28
Hungary,4.59
IBRD only,4.31
IDA & IBRD total,3.30
IDA total,0.52
IDA blend,0.80
Indonesia,2.07
IDA only,0.38
Isle of Man,0.00
India,1.58
Not classified,0.00
Ireland,6.77
Iran,7.06
Iraq,3.84
Iceland,3.95
Israel,6.35
Italy,4.73
Jamaica,2.07
Jordan,1.92
Japan,8.03
Kazakhstan,11.30
Kenya,0.37
Kyrgyz Republic,1.38
Cambodia,1.14
Kiribati,0.45
St. Kitts and Nevis,4.85
South Korea,10.99
Kuwait,21.17
Latin America & Caribbean (excluding high income),2.11
Lao PDR,2.62
Lebanon,3.79
Liberia,0.23
Libya,6.68
St. Lucia,2.79
Latin America & Caribbean,2.21
Least developed countries: UN classification,0.33
Low income,0.27
Liechtenstein,3.66
Sri Lanka,1.00
Lower middle income,1.64
Low & middle income,3.34
Lesotho,1.03
Late-demographic dividend,6.68
Lithuania,4.18
Luxembourg,12.46
Latvia,3.65
"Macao SAR, China",0.00
St. Martin (French part),0.00
Morocco,1.82
Monaco,0.00
Moldova,3.27
Madagascar,0.10
Maldives,2.83
Middle East & North Africa,5.03
Mexico,3.04
Marshall Islands,2.53
Middle income,3.70
North Macedonia,3.66
Mali,0.20
Malta,3.13
Myanmar,0.63
Middle East & North Africa (excluding high income),3.33
Montenegro,4.07
Mongolia,6.43
Northern Mariana Islands,0.00
Mozambique,0.22
Mauritania,0.86
Mauritius,2.94
Malawi,0.08
Malaysia,7.38
North America,13.09
Namibia,1.59
New Caledonia,0.00
Niger,0.09
Nigeria,0.54
Nicaragua,0.68
Netherlands,7.47
Norway,6.73
Nepal,0.51
Nauru,3.36
New Zealand,6.16
OECD members,7.72
Oman,15.64
Other small states,13.11
Pakistan,0.81
Panama,2.23
Peru,1.40
Philippines,1.19
Palau,8.80
Papua New Guinea,0.56
Poland,7.37
Pre-demographic dividend,0.48
Puerto Rico,0.00
North Korea,2.03
Portugal,3.78
Paraguay,1.14
West Bank and Gaza,0.00
Pacific island small states,0.85
Post-demographic dividend,8.55
French Polynesia,0.00
Qatar,31.73
Romania,3.56
Russia,11.14
Rwanda,0.11
South Asia,1.34
Saudi Arabia,14.27
Sudan,0.47
Senegal,0.65
Singapore,7.69
Solomon Islands,0.32
Sierra Leone,0.13
El Salvador,1.01
San Marino,0.00
Somalia,0.04
Serbia,6.71
Sub-Saharan Africa (excluding high income),0.66
S. Sudan,0.16
Sub-Saharan Africa,0.66
Small states,11.09
Sao Tome and Principe,0.65
Suriname,4.29
Slovak Republic,5.32
Slovenia,5.93
Sweden,3.24
Eswatini,0.97
Sint Maarten (Dutch part),0.00
Seychelles,6.08
Syria,1.21
Turks and Caicos Islands,0.00
Chad,0.09
East Asia & Pacific (IDA & IBRD countries),6.03
Europe & Central Asia (IDA & IBRD countries),6.91
Togo,0.29
Thailand,3.71
Tajikistan,0.98
Turkmenistan,10.18
Latin America & the Caribbean (IDA & IBRD countries),2.22
Timor-Leste,0.34
Middle East & North Africa (IDA & IBRD countries),3.37
Tonga,1.12
South Asia (IDA & IBRD),1.34
Sub-Saharan Africa (IDA & IBRD countries),0.66
Trinidad and Tobago,10.16
Tunisia,2.41
Turkey,4.89
Tuvalu,0.60
Tanzania,0.23
Uganda,0.13
Ukraine,3.75
Upper middle income,5.88
Uruguay,1.90
United States of America,13.03
Uzbekistan,3.38
St. Vincent and the Grenadines,2.10
Venezuela,2.55
British Virgin Islands,0.00
Virgin Islands (U.S.),0.00
Vietnam,3.68
Vanuatu,0.39
World,4.29
Samoa,0.96
Kosovo,0.00
Yemen,0.31
South Africa,6.69
Zambia,0.40
Zimbabwe,0.53
Taiwan,0.00
